LocationID,Lon_DD,Lat_DD
ARPO_InvPla_72,-91.353419,34.020071
ARPO_InvPla_97,-91.351823,34.018273
ARPO_InvPla_82,-91.352664,34.019511
ARPO_InvPla_73,-91.352627,34.02055
ARPO_InvPla_62,-91.352465,34.021263
ARPO_InvPla_53,-91.351549,34.022058
ARPO_InvPla_102,-91.350845,34.017391
ARPO_InvPla_83,-91.351693,34.019639
ARPO_InvPla_74,-91.351652,34.020537
ARPO_InvPla_63,-91.351637,34.021348
ARPO_InvPla_46,-91.350601,34.022928
ARPO_InvPla_39,-91.350711,34.023897
ARPO_InvPla_98,-91.350725,34.01809
ARPO_InvPla_75,-91.350678,34.020524
ARPO_InvPla_64,-91.350663,34.021335
ARPO_InvPla_54,-91.350647,34.022146
ARPO_InvPla_104,-91.349342,34.016457
ARPO_InvPla_103,-91.349643,34.017276
ARPO_InvPla_99,-91.349751,34.018077
ARPO_InvPla_92,-91.349736,34.018889
ARPO_InvPla_85,-91.349711,34.019701
ARPO_InvPla_76,-91.349704,34.020511
ARPO_InvPla_65,-91.349689,34.021322
ARPO_InvPla_55,-91.349673,34.022133
ARPO_InvPla_47,-91.349657,34.022944
ARPO_InvPla_40,-91.349643,34.023839
ARPO_InvPla_11,-91.349428,34.025788
ARPO_InvPla_105,-91.348013,34.015566
ARPO_InvPla_100,-91.348845,34.018124
ARPO_InvPla_93,-91.348762,34.018875
ARPO_InvPla_86,-91.348746,34.019687
ARPO_InvPla_77,-91.34873,34.020498
ARPO_InvPla_66,-91.348715,34.021309
ARPO_InvPla_56,-91.348699,34.02212
ARPO_InvPla_48,-91.348683,34.022931
ARPO_InvPla_41,-91.348659,34.023917
ARPO_InvPla_22,-91.348637,34.025172
ARPO_InvPla_12,-91.34862,34.026175
ARPO_InvPla_1,-91.348472,34.026921
ARPO_InvPla_94,-91.347806,34.018784
ARPO_InvPla_87,-91.347772,34.019673
ARPO_InvPla_78,-91.347756,34.020485
ARPO_InvPla_67,-91.34774,34.021296
ARPO_InvPla_57,-91.347725,34.022107
ARPO_InvPla_49,-91.347709,34.022918
ARPO_InvPla_42,-91.347693,34.023729
ARPO_InvPla_32,-91.347671,34.02454
ARPO_InvPla_23,-91.347662,34.025351
ARPO_InvPla_13,-91.347646,34.026162
ARPO_InvPla_2,-91.347631,34.026971
ARPO_InvPla_95,-91.346852,34.01883
ARPO_InvPla_88,-91.346798,34.01966
ARPO_InvPla_79,-91.346782,34.020471
ARPO_InvPla_68,-91.346766,34.021283
ARPO_InvPla_58,-91.346751,34.022094
ARPO_InvPla_50,-91.346735,34.022905
ARPO_InvPla_43,-91.346719,34.023716
ARPO_InvPla_33,-91.346703,34.024527
ARPO_InvPla_24,-91.346688,34.025338
ARPO_InvPla_14,-91.346672,34.026149
ARPO_InvPla_3,-91.346657,34.026956
ARPO_InvPla_96,-91.345838,34.018837
ARPO_InvPla_89,-91.345824,34.019647
ARPO_InvPla_80,-91.345808,34.020458
ARPO_InvPla_69,-91.345792,34.021269
ARPO_InvPla_59,-91.345777,34.022081
ARPO_InvPla_51,-91.345761,34.022892
ARPO_InvPla_44,-91.345745,34.023703
ARPO_InvPla_34,-91.345729,34.024514
ARPO_InvPla_25,-91.345714,34.025325
ARPO_InvPla_15,-91.345698,34.026136
ARPO_InvPla_4,-91.345682,34.026942
ARPO_InvPla_107,-91.344738,34.01282
ARPO_InvPla_101,-91.345635,34.017934
ARPO_InvPla_90,-91.345025,34.019306
ARPO_InvPla_81,-91.344848,34.020455
ARPO_InvPla_70,-91.344818,34.021256
ARPO_InvPla_60,-91.344802,34.022067
ARPO_InvPla_52,-91.344664,34.022934
ARPO_InvPla_45,-91.344937,34.023687
ARPO_InvPla_35,-91.344797,34.024518
ARPO_InvPla_26,-91.344739,34.025312
ARPO_InvPla_16,-91.344724,34.026123
ARPO_InvPla_5,-91.344708,34.026928
ARPO_InvPla_113,-91.343131,34.011551
ARPO_InvPla_111,-91.343974,34.012357
ARPO_InvPla_108,-91.343986,34.013119
ARPO_InvPla_106,-91.343444,34.013893
ARPO_InvPla_71,-91.344068,34.021208
ARPO_InvPla_36,-91.343285,34.024611
ARPO_InvPla_27,-91.343765,34.025299
ARPO_InvPla_17,-91.34375,34.02611
ARPO_InvPla_6,-91.343734,34.026913
ARPO_InvPla_115,-91.34236,34.010808
ARPO_InvPla_112,-91.343043,34.012308
ARPO_InvPla_109,-91.343035,34.013113
ARPO_InvPla_61,-91.343575,34.022292
ARPO_InvPla_28,-91.342791,34.025286
ARPO_InvPla_18,-91.342775,34.026097
ARPO_InvPla_7,-91.342778,34.026877
ARPO_InvPla_114,-91.342094,34.011492
ARPO_InvPla_110,-91.342129,34.012441
ARPO_InvPla_37,-91.341738,34.024251
ARPO_InvPla_29,-91.341817,34.025272
ARPO_InvPla_19,-91.341801,34.026083
ARPO_InvPla_8,-91.341812,34.026767
ARPO_InvPla_38,-91.340906,34.024374
ARPO_InvPla_30,-91.340843,34.025259
ARPO_InvPla_31,-91.339876,34.025045
ARPO_InvPla_91,-91.350636,34.018897
ARPO_InvPla_84,-91.350744,34.019769
ARPO_InvPla_10,-91.339621,34.026645
ARPO_InvPla_21,-91.339803,34.025974
ARPO_InvPla_20,-91.340829,34.025983
ARPO_InvPla_9,-91.340819,34.026629
ARPO_InvPla_162,-91.267253,33.979782
ARPO_InvPla_153,-91.26737,33.980443
ARPO_InvPla_163,-91.266281,33.979739
ARPO_InvPla_154,-91.266254,33.980542
ARPO_InvPla_145,-91.265879,33.981248
ARPO_InvPla_169,-91.266612,33.979119
ARPO_InvPla_127,-91.264276,33.983807
ARPO_InvPla_124,-91.264321,33.984544
ARPO_InvPla_146,-91.263337,33.981364
ARPO_InvPla_138,-91.263398,33.982109
ARPO_InvPla_131,-91.263711,33.982953
ARPO_InvPla_156,-91.263378,33.980478
ARPO_InvPla_128,-91.263342,33.983821
ARPO_InvPla_125,-91.263273,33.984564
ARPO_InvPla_119,-91.263163,33.985212
ARPO_InvPla_157,-91.26231,33.980606
ARPO_InvPla_147,-91.262365,33.981307
ARPO_InvPla_139,-91.262349,33.982118
ARPO_InvPla_132,-91.26227,33.982808
ARPO_InvPla_126,-91.262382,33.984662
ARPO_InvPla_120,-91.262277,33.985356
ARPO_InvPla_116,-91.261414,33.986061
ARPO_InvPla_165,-91.260695,33.979751
ARPO_InvPla_148,-91.261392,33.981293
ARPO_InvPla_140,-91.261375,33.982104
ARPO_InvPla_133,-91.261297,33.982818
ARPO_InvPla_121,-91.261339,33.985268
ARPO_InvPla_158,-91.260676,33.98047
ARPO_InvPla_149,-91.260418,33.981279
ARPO_InvPla_141,-91.260402,33.98209
ARPO_InvPla_134,-91.260363,33.982907
ARPO_InvPla_122,-91.260299,33.985348
ARPO_InvPla_117,-91.260326,33.986276
ARPO_InvPla_166,-91.259477,33.979738
ARPO_InvPla_159,-91.259461,33.980454
ARPO_InvPla_150,-91.259445,33.981265
ARPO_InvPla_142,-91.259428,33.982076
ARPO_InvPla_135,-91.259441,33.982809
ARPO_InvPla_118,-91.259574,33.985984
ARPO_InvPla_167,-91.258503,33.979726
ARPO_InvPla_160,-91.258488,33.980441
ARPO_InvPla_151,-91.258471,33.981252
ARPO_InvPla_143,-91.258455,33.982063
ARPO_InvPla_136,-91.258431,33.982867
ARPO_InvPla_129,-91.258296,33.983823
ARPO_InvPla_123,-91.259291,33.98526
ARPO_InvPla_168,-91.257539,33.979715
