LocationID,Lon_DD,Lat_DD
CUVA_InvPla_1,-81.636872,41.391699
CUVA_InvPla_2,-81.634845,41.392579
CUVA_InvPla_3,-81.633596,41.38888
CUVA_InvPla_4,-81.631366,41.390619
CUVA_InvPla_5,-81.627899,41.392339
CUVA_InvPla_6,-81.630467,41.386168
CUVA_InvPla_7,-81.627933,41.388161
CUVA_InvPla_8,-81.625327,41.390314
CUVA_InvPla_9,-81.630761,41.379778
CUVA_InvPla_10,-81.626808,41.383568
CUVA_InvPla_11,-81.624911,41.385708
CUVA_InvPla_12,-81.622741,41.387562
CUVA_InvPla_13,-81.631102,41.375489
CUVA_InvPla_14,-81.628086,41.377978
CUVA_InvPla_15,-81.624822,41.381133
CUVA_InvPla_16,-81.621337,41.382841
CUVA_InvPla_17,-81.619367,41.384776
CUVA_InvPla_18,-81.627636,41.372929
CUVA_InvPla_19,-81.625473,41.374689
CUVA_InvPla_20,-81.619581,41.378958
CUVA_InvPla_21,-81.617731,41.380363
CUVA_InvPla_22,-81.615633,41.381967
CUVA_InvPla_23,-81.61676,41.375476
CUVA_InvPla_24,-81.614306,41.378044
CUVA_InvPla_25,-81.611913,41.380017
CUVA_InvPla_26,-81.620922,41.36802
CUVA_InvPla_27,-81.61776,41.370436
CUVA_InvPla_28,-81.614532,41.373025
CUVA_InvPla_29,-81.610914,41.37588
CUVA_InvPla_30,-81.608435,41.376983
CUVA_InvPla_31,-81.617457,41.366542
CUVA_InvPla_32,-81.614245,41.367975
CUVA_InvPla_33,-81.610654,41.370316
CUVA_InvPla_34,-81.607488,41.372982
CUVA_InvPla_35,-81.604126,41.375348
CUVA_InvPla_36,-81.600614,41.377869
CUVA_InvPla_37,-81.613116,41.362207
CUVA_InvPla_38,-81.610821,41.365234
CUVA_InvPla_39,-81.607436,41.368373
CUVA_InvPla_40,-81.604176,41.370492
CUVA_InvPla_41,-81.601082,41.373078
CUVA_InvPla_42,-81.613594,41.35836
CUVA_InvPla_43,-81.610757,41.360228
CUVA_InvPla_44,-81.607558,41.362811
CUVA_InvPla_45,-81.604,41.364594
CUVA_InvPla_46,-81.613806,41.353665
CUVA_InvPla_47,-81.611073,41.355732
CUVA_InvPla_48,-81.607459,41.358279
CUVA_InvPla_49,-81.603993,41.360235
CUVA_InvPla_50,-81.601626,41.362803
CUVA_InvPla_51,-81.583337,41.375652
CUVA_InvPla_52,-81.580969,41.37795
CUVA_InvPla_53,-81.606954,41.35216
CUVA_InvPla_54,-81.602641,41.355637
CUVA_InvPla_55,-81.60059,41.357734
CUVA_InvPla_56,-81.599418,41.359797
CUVA_InvPla_57,-81.58003,41.373967
CUVA_InvPla_58,-81.577501,41.375446
CUVA_InvPla_59,-81.573619,41.37825
CUVA_InvPla_60,-81.569568,41.380244
CUVA_InvPla_61,-81.566632,41.383159
CUVA_InvPla_62,-81.564198,41.38532
CUVA_InvPla_63,-81.600431,41.352633
CUVA_InvPla_64,-81.597629,41.35508
CUVA_InvPla_65,-81.57651,41.371238
CUVA_InvPla_66,-81.573693,41.373139
CUVA_InvPla_67,-81.570107,41.375715
CUVA_InvPla_68,-81.566953,41.378287
CUVA_InvPla_69,-81.563593,41.380851
CUVA_InvPla_70,-81.552874,41.388128
CUVA_InvPla_71,-81.59957,41.34742
CUVA_InvPla_72,-81.597138,41.350109
CUVA_InvPla_73,-81.593883,41.352357
CUVA_InvPla_74,-81.572932,41.36896
CUVA_InvPla_75,-81.570137,41.370745
CUVA_InvPla_76,-81.566909,41.373191
CUVA_InvPla_77,-81.563549,41.375756
CUVA_InvPla_78,-81.560188,41.37832
CUVA_InvPla_79,-81.556828,41.380884
CUVA_InvPla_80,-81.553467,41.383448
CUVA_InvPla_81,-81.550097,41.385976
CUVA_InvPla_82,-81.546739,41.388574
CUVA_InvPla_83,-81.543985,41.390413
CUVA_InvPla_84,-81.603163,41.340425
CUVA_InvPla_85,-81.600449,41.342416
CUVA_InvPla_86,-81.597097,41.345048
CUVA_InvPla_87,-81.59374,41.347578
CUVA_InvPla_88,-81.590445,41.350215
CUVA_InvPla_89,-81.587059,41.352841
CUVA_InvPla_90,-81.58394,41.354824
CUVA_InvPla_91,-81.567008,41.368126
CUVA_InvPla_92,-81.56394,41.371499
CUVA_InvPla_93,-81.560145,41.373225
CUVA_InvPla_94,-81.556784,41.375789
CUVA_InvPla_95,-81.553538,41.378336
CUVA_InvPla_96,-81.550062,41.380918
CUVA_InvPla_97,-81.546703,41.383488
CUVA_InvPla_98,-81.54334,41.386044
CUVA_InvPla_99,-81.540351,41.388037
CUVA_InvPla_100,-81.599939,41.338225
CUVA_InvPla_101,-81.597071,41.339858
CUVA_InvPla_102,-81.593347,41.342722
CUVA_InvPla_103,-81.590336,41.345003
CUVA_InvPla_104,-81.586977,41.347524
CUVA_InvPla_105,-81.583591,41.351651
CUVA_InvPla_106,-81.58026,41.352734
CUVA_InvPla_107,-81.566389,41.362893
CUVA_InvPla_108,-81.556683,41.37079
CUVA_InvPla_109,-81.553358,41.373255
CUVA_InvPla_110,-81.55002,41.375821
CUVA_InvPla_111,-81.547697,41.378014
CUVA_InvPla_112,-81.53726,41.385569
CUVA_InvPla_113,-81.622758,41.314314
CUVA_InvPla_114,-81.620523,41.317206
CUVA_InvPla_115,-81.617232,41.319595
CUVA_InvPla_116,-81.613686,41.321826
CUVA_InvPla_117,-81.610507,41.323859
CUVA_InvPla_118,-81.593626,41.33808
CUVA_InvPla_119,-81.590284,41.339953
CUVA_InvPla_120,-81.587296,41.34242
CUVA_InvPla_121,-81.583573,41.345057
CUVA_InvPla_122,-81.576827,41.351593
CUVA_InvPla_123,-81.573494,41.352867
CUVA_InvPla_124,-81.57012,41.355297
CUVA_InvPla_125,-81.566558,41.357831
CUVA_InvPla_126,-81.55335,41.369438
CUVA_InvPla_127,-81.550457,41.370938
CUVA_InvPla_128,-81.547269,41.373586
CUVA_InvPla_129,-81.534551,41.381449
CUVA_InvPla_130,-81.534894,41.383108
CUVA_InvPla_131,-81.626143,41.307006
CUVA_InvPla_132,-81.623129,41.308629
CUVA_InvPla_133,-81.620629,41.311907
CUVA_InvPla_134,-81.617353,41.313641
CUVA_InvPla_135,-81.613618,41.317072
CUVA_InvPla_136,-81.610376,41.319466
CUVA_InvPla_137,-81.607511,41.321529
CUVA_InvPla_138,-81.589649,41.334721
CUVA_InvPla_139,-81.586888,41.337444
CUVA_InvPla_140,-81.583754,41.340048
CUVA_InvPla_141,-81.580428,41.342551
CUVA_InvPla_142,-81.570069,41.351551
CUVA_InvPla_143,-81.567115,41.352887
CUVA_InvPla_144,-81.62569,41.301448
CUVA_InvPla_145,-81.616911,41.30959
CUVA_InvPla_146,-81.613373,41.311824
CUVA_InvPla_147,-81.610328,41.314371
CUVA_InvPla_148,-81.606973,41.316937
CUVA_InvPla_149,-81.603931,41.319215
