LocationID,Lon_DD,Lat_DD
EFMO_InvPla_1,-91.182709,43.109424
EFMO_InvPla_2,-91.180492,43.109275
EFMO_InvPla_3,-91.187169,43.108658
EFMO_InvPla_4,-91.18549,43.108404
EFMO_InvPla_5,-91.183063,43.108123
EFMO_InvPla_6,-91.180642,43.107838
EFMO_InvPla_8,-91.187338,43.106943
EFMO_InvPla_9,-91.185873,43.106625
EFMO_InvPla_10,-91.183447,43.106344
EFMO_InvPla_11,-91.18102,43.106063
EFMO_InvPla_12,-91.179138,43.105749
EFMO_InvPla_13,-91.186243,43.104852
EFMO_InvPla_14,-91.183831,43.104565
EFMO_InvPla_15,-91.181403,43.104284
EFMO_InvPla_16,-91.179403,43.104094
EFMO_InvPla_17,-91.186312,43.103254
EFMO_InvPla_18,-91.184215,43.102788
EFMO_InvPla_19,-91.181787,43.102507
EFMO_InvPla_20,-91.179962,43.1023
EFMO_InvPla_21,-91.186668,43.101149
EFMO_InvPla_22,-91.184598,43.101008
EFMO_InvPla_23,-91.182172,43.100728
EFMO_InvPla_24,-91.180205,43.100438
EFMO_InvPla_25,-91.209284,43.10164
EFMO_InvPla_26,-91.206841,43.101486
EFMO_InvPla_27,-91.204393,43.101333
EFMO_InvPla_31,-91.186969,43.099482
EFMO_InvPla_32,-91.184982,43.09923
EFMO_InvPla_33,-91.182555,43.098949
EFMO_InvPla_34,-91.180231,43.098637
EFMO_InvPla_35,-91.216058,43.101088
EFMO_InvPla_36,-91.214489,43.100823
EFMO_InvPla_37,-91.212063,43.100543
EFMO_InvPla_38,-91.209635,43.100263
EFMO_InvPla_39,-91.207208,43.099982
EFMO_InvPla_40,-91.204781,43.0997
EFMO_InvPla_41,-91.202354,43.099419
EFMO_InvPla_42,-91.199927,43.099138
EFMO_InvPla_43,-91.197763,43.098854
EFMO_InvPla_44,-91.18769,43.097644
EFMO_InvPla_45,-91.185366,43.097452
EFMO_InvPla_46,-91.182939,43.097172
EFMO_InvPla_47,-91.180512,43.09689
EFMO_InvPla_49,-91.214872,43.099043
EFMO_InvPla_50,-91.212445,43.098763
EFMO_InvPla_51,-91.210018,43.098483
EFMO_InvPla_52,-91.207591,43.098202
EFMO_InvPla_53,-91.205164,43.097921
EFMO_InvPla_54,-91.202738,43.097641
EFMO_InvPla_55,-91.20031,43.097361
EFMO_InvPla_56,-91.19794,43.097064
EFMO_InvPla_57,-91.192487,43.096085
EFMO_InvPla_58,-91.190557,43.09618
EFMO_InvPla_59,-91.188176,43.095954
EFMO_InvPla_60,-91.185749,43.095673
EFMO_InvPla_61,-91.183323,43.095393
EFMO_InvPla_62,-91.180896,43.095111
EFMO_InvPla_64,-91.224978,43.098031
EFMO_InvPla_65,-91.222543,43.097884
EFMO_InvPla_66,-91.220094,43.097742
EFMO_InvPla_67,-91.217682,43.097546
EFMO_InvPla_68,-91.215255,43.097266
EFMO_InvPla_69,-91.212828,43.096985
EFMO_InvPla_70,-91.210401,43.096704
EFMO_InvPla_71,-91.207974,43.096423
EFMO_InvPla_72,-91.205547,43.096142
EFMO_InvPla_73,-91.20312,43.095862
EFMO_InvPla_74,-91.200694,43.095582
EFMO_InvPla_75,-91.198267,43.0953
EFMO_InvPla_77,-91.19326,43.094629
EFMO_InvPla_78,-91.190987,43.094458
EFMO_InvPla_79,-91.18856,43.094177
EFMO_InvPla_80,-91.186133,43.093895
EFMO_InvPla_81,-91.183707,43.093614
EFMO_InvPla_82,-91.18128,43.093332
EFMO_InvPla_84,-91.225194,43.096622
EFMO_InvPla_85,-91.222919,43.096328
EFMO_InvPla_86,-91.220491,43.096048
EFMO_InvPla_87,-91.218065,43.095768
EFMO_InvPla_88,-91.215638,43.095487
EFMO_InvPla_89,-91.213211,43.095206
EFMO_InvPla_90,-91.210785,43.094926
EFMO_InvPla_91,-91.208357,43.094646
EFMO_InvPla_92,-91.20593,43.094365
EFMO_InvPla_93,-91.203504,43.094084
EFMO_InvPla_94,-91.201077,43.093803
EFMO_InvPla_95,-91.19865,43.093521
EFMO_InvPla_97,-91.193794,43.092961
EFMO_InvPla_98,-91.19137,43.092679
EFMO_InvPla_99,-91.188944,43.092398
EFMO_InvPla_100,-91.186517,43.092116
EFMO_InvPla_101,-91.184091,43.091836
EFMO_InvPla_102,-91.181674,43.091566
EFMO_InvPla_105,-91.223301,43.094551
EFMO_InvPla_106,-91.220875,43.09427
EFMO_InvPla_107,-91.218448,43.093989
EFMO_InvPla_108,-91.216021,43.093708
EFMO_InvPla_109,-91.213594,43.093427
EFMO_InvPla_110,-91.211167,43.093147
EFMO_InvPla_111,-91.20874,43.092867
EFMO_InvPla_112,-91.206314,43.092586
EFMO_InvPla_113,-91.203887,43.092305
EFMO_InvPla_114,-91.201461,43.092025
EFMO_InvPla_115,-91.199034,43.091744
EFMO_InvPla_116,-91.196622,43.091455
EFMO_InvPla_117,-91.194178,43.091167
EFMO_InvPla_118,-91.191747,43.090903
EFMO_InvPla_119,-91.189327,43.090619
EFMO_InvPla_120,-91.186901,43.090337
EFMO_InvPla_123,-91.235244,43.094131
EFMO_InvPla_124,-91.233392,43.093892
EFMO_InvPla_125,-91.230965,43.093611
EFMO_InvPla_127,-91.226111,43.093052
EFMO_InvPla_128,-91.223684,43.092771
EFMO_InvPla_129,-91.221257,43.092491
EFMO_InvPla_130,-91.218832,43.092212
EFMO_InvPla_131,-91.216388,43.091962
EFMO_InvPla_132,-91.213977,43.09165
EFMO_InvPla_133,-91.21155,43.091369
EFMO_InvPla_134,-91.209124,43.091088
EFMO_InvPla_135,-91.206697,43.090807
EFMO_InvPla_136,-91.20427,43.090526
EFMO_InvPla_137,-91.201843,43.090245
EFMO_InvPla_138,-91.199417,43.089965
EFMO_InvPla_139,-91.196991,43.089684
EFMO_InvPla_140,-91.194566,43.089401
EFMO_InvPla_141,-91.19283,43.08887
EFMO_InvPla_146,-91.235445,43.092367
EFMO_InvPla_147,-91.233774,43.092115
EFMO_InvPla_148,-91.231347,43.091834
EFMO_InvPla_149,-91.22892,43.091554
EFMO_InvPla_150,-91.226667,43.091385
EFMO_InvPla_151,-91.215894,43.090124
EFMO_InvPla_152,-91.21436,43.089871
EFMO_InvPla_153,-91.211934,43.089591
EFMO_InvPla_154,-91.209506,43.089311
EFMO_InvPla_155,-91.20708,43.08903
EFMO_InvPla_156,-91.204653,43.088749
EFMO_InvPla_157,-91.202227,43.088467
EFMO_InvPla_158,-91.1998,43.088186
EFMO_InvPla_159,-91.197374,43.087905
EFMO_InvPla_160,-91.194947,43.087623
EFMO_InvPla_161,-91.192537,43.087333
EFMO_InvPla_162,-91.190108,43.086921
EFMO_InvPla_163,-91.187665,43.086777
EFMO_InvPla_164,-91.185251,43.086494
EFMO_InvPla_165,-91.183242,43.085942
EFMO_InvPla_166,-91.235637,43.090607
EFMO_InvPla_167,-91.234156,43.090336
EFMO_InvPla_168,-91.23173,43.090055
EFMO_InvPla_169,-91.229303,43.089776
