LocationID,Lon_DD,Lat_DD
GWCA_InvPla_74,-94.359756,36.984476
GWCA_InvPla_62,-94.359743,36.985739
GWCA_InvPla_46,-94.359738,36.987236
GWCA_InvPla_10,-94.359204,36.99092
GWCA_InvPla_1,-94.359206,36.991688
GWCA_InvPla_75,-94.358922,36.984445
GWCA_InvPla_67,-94.358922,36.985326
GWCA_InvPla_63,-94.358947,36.986059
GWCA_InvPla_56,-94.358961,36.98687
GWCA_InvPla_47,-94.359021,36.987616
GWCA_InvPla_30,-94.357991,36.989179
GWCA_InvPla_76,-94.357949,36.984387
GWCA_InvPla_69,-94.356915,36.985263
GWCA_InvPla_68,-94.357914,36.985297
GWCA_InvPla_64,-94.357878,36.986082
GWCA_InvPla_57,-94.357878,36.986882
GWCA_InvPla_48,-94.357914,36.987469
GWCA_InvPla_39,-94.357965,36.988156
GWCA_InvPla_29,-94.358825,36.989217
GWCA_InvPla_20,-94.357972,36.990115
GWCA_InvPla_19,-94.358842,36.990136
GWCA_InvPla_11,-94.357929,36.990815
GWCA_InvPla_2,-94.358078,36.991489
GWCA_InvPla_65,-94.356884,36.985993
GWCA_InvPla_58,-94.356613,36.986893
GWCA_InvPla_49,-94.356928,36.987721
GWCA_InvPla_31,-94.357,36.989226
GWCA_InvPla_40,-94.356938,36.988423
GWCA_InvPla_21,-94.356998,36.990136
GWCA_InvPla_12,-94.356972,36.990865
GWCA_InvPla_3,-94.356895,36.991628
GWCA_InvPla_4,-94.355893,36.991603
GWCA_InvPla_94,-94.354979,36.981387
GWCA_InvPla_90,-94.354985,36.982048
GWCA_InvPla_86,-94.354978,36.982859
GWCA_InvPla_82,-94.35496,36.983663
GWCA_InvPla_79,-94.354847,36.984471
GWCA_InvPla_70,-94.355758,36.985297
GWCA_InvPla_66,-94.355723,36.986091
GWCA_InvPla_59,-94.35561,36.986789
GWCA_InvPla_50,-94.355944,36.987715
GWCA_InvPla_41,-94.355957,36.988551
GWCA_InvPla_32,-94.355863,36.989387
GWCA_InvPla_22,-94.355987,36.990148
GWCA_InvPla_13,-94.356001,36.990958
GWCA_InvPla_71,-94.35476,36.985125
GWCA_InvPla_51,-94.354936,36.987656
GWCA_InvPla_43,-94.353962,36.988603
GWCA_InvPla_42,-94.354973,36.988535
GWCA_InvPla_23,-94.355074,36.990248
GWCA_InvPla_14,-94.354991,36.99097
GWCA_InvPla_5,-94.355008,36.991667
GWCA_InvPla_95,-94.353805,36.98138
GWCA_InvPla_91,-94.353822,36.982063
GWCA_InvPla_87,-94.353836,36.982874
GWCA_InvPla_83,-94.353851,36.983685
GWCA_InvPla_80,-94.353865,36.984495
GWCA_InvPla_72,-94.353846,36.985231
GWCA_InvPla_52,-94.353922,36.987699
GWCA_InvPla_33,-94.354848,36.989519
GWCA_InvPla_24,-94.353954,36.990174
GWCA_InvPla_15,-94.354006,36.990963
GWCA_InvPla_6,-94.354088,36.991651
GWCA_InvPla_96,-94.352791,36.981372
GWCA_InvPla_92,-94.352811,36.982075
GWCA_InvPla_88,-94.352826,36.982885
GWCA_InvPla_84,-94.35284,36.983696
GWCA_InvPla_81,-94.352889,36.984502
GWCA_InvPla_73,-94.352743,36.985327
GWCA_InvPla_53,-94.353035,36.987849
GWCA_InvPla_44,-94.352923,36.988599
GWCA_InvPla_35,-94.352941,36.989371
GWCA_InvPla_25,-94.352955,36.990182
GWCA_InvPla_16,-94.352973,36.990855
GWCA_InvPla_97,-94.35175,36.981368
GWCA_InvPla_93,-94.351752,36.982089
GWCA_InvPla_89,-94.351745,36.9829
GWCA_InvPla_85,-94.35175,36.983722
GWCA_InvPla_45,-94.351836,36.988675
GWCA_InvPla_36,-94.35193,36.989383
GWCA_InvPla_26,-94.351944,36.990194
GWCA_InvPla_17,-94.351694,36.990851
GWCA_InvPla_27,-94.351183,36.98982
GWCA_InvPla_61,-94.351474,36.987202
GWCA_InvPla_60,-94.352527,36.987429
GWCA_InvPla_18,-94.359595,36.9899
GWCA_InvPla_28,-94.359502,36.989035
GWCA_InvPla_38,-94.358802,36.98827
GWCA_InvPla_37,-94.359558,36.988354
GWCA_InvPla_7,-94.353322,36.991533
GWCA_InvPla_9,-94.351384,36.991487
GWCA_InvPla_8,-94.352426,36.991506
GWCA_InvPla_55,-94.351259,36.988065
GWCA_InvPla_54,-94.3519,36.98798
GWCA_InvPla_78,-94.355871,36.984369
GWCA_InvPla_77,-94.35693,36.984347
GWCA_InvPla_34,-94.353968,36.989357
GWCA_InvPla_114,-94.356489,36.981396
GWCA_InvPla_113,-94.358332,36.981404
GWCA_InvPla_108,-94.359772,36.981809
GWCA_InvPla_98,-94.359763,36.983563
GWCA_InvPla_103,-94.359766,36.982802
GWCA_InvPla_99,-94.358908,36.983557
GWCA_InvPla_112,-94.355995,36.982042
GWCA_InvPla_107,-94.355989,36.982853
GWCA_InvPla_100,-94.357898,36.983546
GWCA_InvPla_101,-94.356886,36.983535
GWCA_InvPla_102,-94.355985,36.983531
GWCA_InvPla_104,-94.358889,36.982816
GWCA_InvPla_105,-94.357879,36.982828
GWCA_InvPla_106,-94.356868,36.982839
GWCA_InvPla_109,-94.358875,36.982005
GWCA_InvPla_110,-94.357864,36.982017
GWCA_InvPla_111,-94.356854,36.982028
