LocationID,Lon_DD,Lat_DD
HEHO_InvPla_1,-91.355736,41.670939
HEHO_InvPla_10,-91.354371,41.668879
HEHO_InvPla_11,-91.353401,41.66889
HEHO_InvPla_12,-91.355279,41.668085
HEHO_InvPla_13,-91.354092,41.66814
HEHO_InvPla_14,-91.353388,41.66783
HEHO_InvPla_15,-91.355419,41.667357
HEHO_InvPla_16,-91.354524,41.667152
HEHO_InvPla_17,-91.353324,41.667185
HEHO_InvPla_18,-91.352399,41.667365
HEHO_InvPla_19,-91.351241,41.667384
HEHO_InvPla_2,-91.35503,41.670926
HEHO_InvPla_20,-91.35007,41.667617
HEHO_InvPla_21,-91.349282,41.66737
HEHO_InvPla_22,-91.348563,41.667785
HEHO_InvPla_23,-91.347348,41.66778
HEHO_InvPla_24,-91.348406,41.667226
HEHO_InvPla_25,-91.347391,41.667176
HEHO_InvPla_26,-91.355409,41.666444
HEHO_InvPla_27,-91.354427,41.666451
HEHO_InvPla_28,-91.353343,41.666435
HEHO_InvPla_29,-91.352398,41.666414
HEHO_InvPla_3,-91.353914,41.670473
HEHO_InvPla_30,-91.351301,41.666411
HEHO_InvPla_31,-91.350093,41.666807
HEHO_InvPla_32,-91.349003,41.666647
HEHO_InvPla_33,-91.347768,41.666643
HEHO_InvPla_34,-91.355426,41.665766
HEHO_InvPla_35,-91.354473,41.665731
HEHO_InvPla_36,-91.353331,41.665738
HEHO_InvPla_37,-91.352351,41.665676
HEHO_InvPla_38,-91.351254,41.665682
HEHO_InvPla_39,-91.350123,41.665939
HEHO_InvPla_4,-91.355405,41.670393
HEHO_InvPla_40,-91.349049,41.666015
HEHO_InvPla_41,-91.350052,41.665323
HEHO_InvPla_42,-91.34882,41.665433
HEHO_InvPla_43,-91.348062,41.665621
HEHO_InvPla_44,-91.355468,41.66498
HEHO_InvPla_45,-91.354444,41.664926
HEHO_InvPla_46,-91.3534,41.664933
HEHO_InvPla_47,-91.352263,41.664891
HEHO_InvPla_48,-91.35115,41.664906
HEHO_InvPla_49,-91.350094,41.664816
HEHO_InvPla_5,-91.354407,41.670263
HEHO_InvPla_50,-91.349066,41.664897
HEHO_InvPla_6,-91.355384,41.669708
HEHO_InvPla_7,-91.35435,41.669692
HEHO_InvPla_8,-91.353253,41.669692
HEHO_InvPla_9,-91.355399,41.668895
