LocationID,Lon_DD,Lat_DD
HOCU_InvPla_1,-83.225521,39.231578
HOCU_InvPla_2,-83.224632,39.231465
HOCU_InvPla_3,-83.224887,39.230791
HOCU_InvPla_4,-83.223574,39.231069
HOCU_InvPla_5,-83.222194,39.230986
HOCU_InvPla_6,-83.101431,39.363736
HOCU_InvPla_7,-83.101502,39.362464
HOCU_InvPla_8,-83.100687,39.363771
HOCU_InvPla_9,-83.100655,39.362838
HOCU_InvPla_10,-83.100605,39.362047
HOCU_InvPla_11,-83.099643,39.363762
HOCU_InvPla_12,-83.099611,39.362857
HOCU_InvPla_13,-83.099607,39.361995
HOCU_InvPla_14,-83.098599,39.363753
HOCU_InvPla_15,-83.098567,39.362876
HOCU_InvPla_16,-83.098359,39.362216
HOCU_InvPla_17,-83.097555,39.363744
HOCU_InvPla_18,-83.097524,39.362895
HOCU_InvPla_19,-83.096511,39.363732
HOCU_InvPla_20,-83.096505,39.362969
HOCU_InvPla_21,-83.096218,39.364722
HOCU_InvPla_22,-83.095495,39.366164
HOCU_InvPla_23,-83.095509,39.365363
HOCU_InvPla_24,-83.095485,39.364553
HOCU_InvPla_25,-83.095461,39.363742
HOCU_InvPla_26,-83.095035,39.363102
HOCU_InvPla_27,-83.094508,39.366131
HOCU_InvPla_28,-83.094466,39.365381
HOCU_InvPla_29,-83.094441,39.364571
HOCU_InvPla_30,-83.094417,39.363761
HOCU_InvPla_31,-83.092658,39.366021
HOCU_InvPla_32,-83.093422,39.3654
HOCU_InvPla_33,-83.093398,39.36459
HOCU_InvPla_34,-83.09338,39.363658
HOCU_InvPla_35,-83.092378,39.365419
HOCU_InvPla_36,-83.092354,39.364609
HOCU_InvPla_37,-83.092343,39.363759
HOCU_InvPla_38,-83.091335,39.365438
HOCU_InvPla_39,-83.09131,39.364628
HOCU_InvPla_40,-83.091303,39.363853
HOCU_InvPla_41,-83.090294,39.365454
HOCU_InvPla_42,-83.090267,39.364646
HOCU_InvPla_43,-83.089949,39.364006
HOCU_InvPla_44,-83.089266,39.365416
HOCU_InvPla_45,-83.089223,39.364665
HOCU_InvPla_46,-83.088226,39.364949
HOCU_InvPla_47,-83.08713,39.36512
HOCU_InvPla_48,-83.086728,39.359952
HOCU_InvPla_49,-83.085938,39.360029
HOCU_InvPla_50,-83.084883,39.360178
HOCU_InvPla_51,-83.084044,39.360197
HOCU_InvPla_52,-83.007329,39.377892
HOCU_InvPla_53,-83.007869,39.377249
HOCU_InvPla_54,-83.006901,39.377078
HOCU_InvPla_55,-83.00588,39.37804
HOCU_InvPla_56,-83.006132,39.377221
HOCU_InvPla_57,-83.004864,39.378151
HOCU_InvPla_58,-83.003774,39.378189
HOCU_InvPla_59,-83.002816,39.377601
HOCU_InvPla_60,-83.001975,39.376476
HOCU_InvPla_61,-83.006906,39.374993
HOCU_InvPla_62,-83.006771,39.374073
HOCU_InvPla_63,-83.005916,39.375068
HOCU_InvPla_64,-83.004734,39.374804
HOCU_InvPla_65,-83.005319,39.374231
HOCU_InvPla_66,-83.003769,39.374959
HOCU_InvPla_67,-83.002544,39.375512
HOCU_InvPla_68,-83.00166,39.37572
HOCU_InvPla_69,-83.00065,39.375707
HOCU_InvPla_70,-83.001152,39.375023
HOCU_InvPla_71,82.999566,39.375306
HOCU_InvPla_72,82.985698,39.387429
HOCU_InvPla_73,82.984868,39.387993
HOCU_InvPla_74,82.984874,39.387187
HOCU_InvPla_75,82.984878,39.386394
HOCU_InvPla_76,82.984151,39.388008
HOCU_InvPla_77,82.984015,39.386836
HOCU_InvPla_78,82.983649,39.38817
HOCU_InvPla_79,82.982783,39.388706
HOCU_InvPla_80,82.982821,39.388014
HOCU_InvPla_81,82.981758,39.388857
HOCU_InvPla_82,82.981781,39.388093
HOCU_InvPla_83,82.979193,39.389673
HOCU_InvPla_84,82.980748,39.388943
HOCU_InvPla_85,82.979704,39.388949
HOCU_InvPla_86,82.980283,39.388208
HOCU_InvPla_87,82.978503,39.388763
HOCU_InvPla_88,82.983156,39.379493
HOCU_InvPla_89,82.981511,39.3795
HOCU_InvPla_90,82.980444,39.37955
HOCU_InvPla_91,82.979416,39.379908
HOCU_InvPla_92,82.9784,39.380008
HOCU_InvPla_93,82.978863,39.379328
HOCU_InvPla_94,82.977368,39.38
HOCU_InvPla_95,82.977331,39.379305
HOCU_InvPla_96,82.976347,39.379969
HOCU_InvPla_97,82.976287,39.37929
HOCU_InvPla_98,82.975457,39.379407
HOCU_InvPla_99,82.924315,39.301453
HOCU_InvPla_100,82.924288,39.30086
HOCU_InvPla_101,82.923043,39.301823
HOCU_InvPla_102,82.923076,39.300829
HOCU_InvPla_103,82.923433,39.30016
HOCU_InvPla_104,82.922026,39.302659
HOCU_InvPla_105,82.922114,39.301433
HOCU_InvPla_106,82.920964,39.303449
HOCU_InvPla_107,82.92123,39.30227
