LocationID,Lon_DD,Lat_DD
HOME_InvPla_68,-96.839536,40.285279
HOME_InvPla_53,-96.839504,40.286258
HOME_InvPla_39,-96.839478,40.287068
HOME_InvPla_25,-96.839449,40.287907
HOME_InvPla_69,-96.838607,40.285333
HOME_InvPla_54,-96.838446,40.286238
HOME_InvPla_55,-96.837242,40.286105
HOME_InvPla_40,-96.83842,40.287048
HOME_InvPla_26,-96.838392,40.287895
HOME_InvPla_41,-96.83742,40.286855
HOME_InvPla_27,-96.837334,40.287883
HOME_InvPla_12,-96.836178,40.289439
HOME_InvPla_5,-96.836132,40.290338
HOME_InvPla_72,-96.836362,40.285247
HOME_InvPla_42,-96.836423,40.286928
HOME_InvPla_56,-96.836177,40.28627
HOME_InvPla_28,-96.836279,40.287818
HOME_InvPla_17,-96.836199,40.288623
HOME_InvPla_73,-96.835305,40.285235
HOME_InvPla_57,-96.835273,40.286179
HOME_InvPla_29,-96.83532,40.287723
HOME_InvPla_43,-96.835175,40.286932
HOME_InvPla_30,-96.834238,40.287759
HOME_InvPla_18,-96.835194,40.288605
HOME_InvPla_6,-96.834951,40.290233
HOME_InvPla_1,-96.835081,40.291112
HOME_InvPla_74,-96.834247,40.285224
HOME_InvPla_58,-96.834135,40.286153
HOME_InvPla_44,-96.834099,40.286975
HOME_InvPla_21,-96.83411,40.288466
HOME_InvPla_2,-96.834177,40.291457
HOME_InvPla_75,-96.833447,40.285114
HOME_InvPla_76,-96.832965,40.285299
HOME_InvPla_59,-96.833061,40.286216
HOME_InvPla_45,-96.832874,40.287054
HOME_InvPla_22,-96.832951,40.288478
HOME_InvPla_3,-96.832932,40.291558
HOME_InvPla_77,-96.832131,40.285201
HOME_InvPla_60,-96.8321,40.286119
HOME_InvPla_46,-96.832004,40.286842
HOME_InvPla_32,-96.832206,40.287741
HOME_InvPla_23,-96.832189,40.288549
HOME_InvPla_11,-96.832255,40.290215
HOME_InvPla_16,-96.832116,40.289417
HOME_InvPla_4,-96.83214,40.291334
HOME_InvPla_78,-96.831074,40.285191
HOME_InvPla_61,-96.831043,40.286099
HOME_InvPla_47,-96.831027,40.286855
HOME_InvPla_79,-96.830242,40.285204
HOME_InvPla_62,-96.830148,40.286094
HOME_InvPla_48,-96.830079,40.286812
HOME_InvPla_70,-96.837499,40.285511
HOME_InvPla_71,-96.837651,40.284956
HOME_InvPla_8,-96.833002,40.290814
HOME_InvPla_10,-96.832977,40.290118
HOME_InvPla_7,-96.83377,40.290869
HOME_InvPla_9,-96.833856,40.290119
HOME_InvPla_35,-96.829446,40.287721
HOME_InvPla_34,-96.830419,40.287751
HOME_InvPla_33,-96.831365,40.287799
HOME_InvPla_51,-96.827811,40.287101
HOME_InvPla_37,-96.827474,40.287861
HOME_InvPla_36,-96.828419,40.287873
HOME_InvPla_65,-96.82745,40.286209
HOME_InvPla_82,-96.827447,40.285222
HOME_InvPla_49,-96.829217,40.286623
HOME_InvPla_50,-96.828304,40.28657
HOME_InvPla_63,-96.829308,40.285728
HOME_InvPla_80,-96.829389,40.284998
HOME_InvPla_64,-96.828313,40.285718
HOME_InvPla_81,-96.828338,40.284992
HOME_InvPla_67,-96.840751,40.285068
HOME_InvPla_66,-96.840739,40.285816
HOME_InvPla_52,-96.84073,40.28656
HOME_InvPla_24,-96.840707,40.288036
HOME_InvPla_38,-96.84072,40.287323
HOME_InvPla_15,-96.832998,40.289494
HOME_InvPla_20,-96.833134,40.288861
HOME_InvPla_31,-96.833105,40.28776
HOME_InvPla_19,-96.834059,40.288935
HOME_InvPla_14,-96.834036,40.289538
HOME_InvPla_13,-96.835113,40.289395
