LocationID,Lon_DD,Lat_DD
HOSP_InvPla_1,-93.112586,34.510094
HOSP_InvPla_2,-93.110805,34.512442
HOSP_InvPla_3,-93.107831,34.515008
HOSP_InvPla_4,-93.104753,34.517561
HOSP_InvPla_5,-93.101674,34.520115
HOSP_InvPla_6,-93.0986,34.522338
HOSP_InvPla_8,-93.11077,34.507353
HOSP_InvPla_9,-93.107824,34.509907
HOSP_InvPla_10,-93.104746,34.51246
HOSP_InvPla_11,-93.101668,34.515013
HOSP_InvPla_12,-93.098589,34.517567
HOSP_InvPla_13,-93.095511,34.52012
HOSP_InvPla_14,-93.092437,34.522307
HOSP_InvPla_16,-93.110783,34.502252
HOSP_InvPla_17,-93.107818,34.504805
HOSP_InvPla_18,-93.10474,34.507359
HOSP_InvPla_19,-93.101662,34.509912
HOSP_InvPla_20,-93.098583,34.512465
HOSP_InvPla_21,-93.095505,34.515018
HOSP_InvPla_22,-93.092426,34.517571
HOSP_InvPla_23,-93.089347,34.520124
HOSP_InvPla_24,-93.086273,34.522275
HOSP_InvPla_25,-93.082675,34.525096
HOSP_InvPla_26,-93.080128,34.526578
HOSP_InvPla_27,-93.042364,34.557965
HOSP_InvPla_28,-93.107805,34.50013
HOSP_InvPla_29,-93.104734,34.502257
HOSP_InvPla_30,-93.101656,34.50481
HOSP_InvPla_31,-93.098577,34.507364
HOSP_InvPla_32,-93.095499,34.509917
HOSP_InvPla_33,-93.092421,34.51247
HOSP_InvPla_34,-93.089342,34.515023
HOSP_InvPla_35,-93.086263,34.517576
HOSP_InvPla_36,-93.083184,34.520129
HOSP_InvPla_37,-93.080105,34.522682
HOSP_InvPla_38,-93.077025,34.52518
HOSP_InvPla_39,-93.073705,34.527771
HOSP_InvPla_40,-93.07087,34.52973
HOSP_InvPla_41,-93.042582,34.553289
HOSP_InvPla_42,-93.040057,34.55586
HOSP_InvPla_43,-93.036981,34.558026
HOSP_InvPla_44,-93.101645,34.500103
HOSP_InvPla_45,-93.098571,34.502262
HOSP_InvPla_46,-93.095493,34.504815
HOSP_InvPla_47,-93.092415,34.507369
HOSP_InvPla_48,-93.089336,34.509922
HOSP_InvPla_49,-93.086258,34.512474
HOSP_InvPla_50,-93.083259,34.515028
HOSP_InvPla_51,-93.080395,34.517917
HOSP_InvPla_52,-93.077024,34.52018
HOSP_InvPla_53,-93.073941,34.522685
HOSP_InvPla_54,-93.070861,34.525238
HOSP_InvPla_55,-93.067782,34.52779
HOSP_InvPla_56,-93.064568,34.530018
HOSP_InvPla_57,-93.061196,34.532717
HOSP_InvPla_58,-93.058281,34.535224
HOSP_InvPla_59,-93.055464,34.537997
HOSP_InvPla_60,-93.052364,34.54054
HOSP_InvPla_61,-93.049299,34.543044
HOSP_InvPla_62,-93.04573,34.544675
HOSP_InvPla_63,-93.0427,34.548197
HOSP_InvPla_64,-93.040055,34.550759
HOSP_InvPla_65,-93.036973,34.553311
HOSP_InvPla_66,-93.033891,34.555862
HOSP_InvPla_67,-93.030816,34.557994
HOSP_InvPla_68,-93.095989,34.50024
HOSP_InvPla_69,-93.092408,34.502269
HOSP_InvPla_70,-93.089331,34.50482
HOSP_InvPla_71,-93.086253,34.507373
HOSP_InvPla_72,-93.083264,34.509926
HOSP_InvPla_73,-93.081738,34.512297
HOSP_InvPla_74,-93.062337,34.528343
HOSP_InvPla_75,-93.059066,34.53114
HOSP_InvPla_76,-93.056433,34.533195
HOSP_InvPla_77,-93.052381,34.535805
HOSP_InvPla_78,-93.049726,34.538349
HOSP_InvPla_79,-93.046215,34.540584
HOSP_InvPla_80,-93.043134,34.543106
HOSP_InvPla_81,-93.040052,34.545658
HOSP_InvPla_82,-93.036971,34.548209
HOSP_InvPla_83,-93.033889,34.550761
HOSP_InvPla_84,-93.030807,34.553312
HOSP_InvPla_85,-93.027985,34.555868
HOSP_InvPla_87,-93.08946,34.500234
HOSP_InvPla_88,-93.086247,34.502272
HOSP_InvPla_89,-93.083169,34.504824
HOSP_InvPla_90,-93.080091,34.507289
HOSP_InvPla_93,-93.042937,34.538026
HOSP_InvPla_94,-93.04005,34.540556
HOSP_InvPla_95,-93.036968,34.543108
HOSP_InvPla_96,-93.033887,34.545659
HOSP_InvPla_97,-93.030805,34.548211
HOSP_InvPla_98,-93.02808,34.550771
HOSP_InvPla_99,-93.083441,34.500496
HOSP_InvPla_100,-93.080087,34.502419
HOSP_InvPla_101,-93.077006,34.504828
HOSP_InvPla_102,-93.073929,34.507251
HOSP_InvPla_103,-93.070442,34.50978
HOSP_InvPla_104,-93.067831,34.512427
HOSP_InvPla_105,-93.040046,34.535456
HOSP_InvPla_106,-93.036966,34.538006
HOSP_InvPla_107,-93.033885,34.540558
HOSP_InvPla_108,-93.030803,34.54311
HOSP_InvPla_109,-93.028188,34.545674
HOSP_InvPla_111,-93.07106,34.505468
HOSP_InvPla_112,-93.067768,34.507441
HOSP_InvPla_113,-93.064688,34.509871
HOSP_InvPla_114,-93.06123,34.512151
HOSP_InvPla_115,-93.058079,34.514659
HOSP_InvPla_116,-93.055797,34.516508
HOSP_InvPla_117,-93.052057,34.520109
HOSP_InvPla_118,-93.049004,34.522378
HOSP_InvPla_119,-93.045744,34.524744
HOSP_InvPla_120,-93.042401,34.527101
HOSP_InvPla_121,-93.039701,34.530457
HOSP_InvPla_122,-93.036964,34.532905
HOSP_InvPla_123,-93.033883,34.535457
HOSP_InvPla_124,-93.030802,34.538008
HOSP_InvPla_125,-93.02846,34.540421
HOSP_InvPla_129,-93.049254,34.517597
HOSP_InvPla_130,-93.046203,34.520148
HOSP_InvPla_131,-93.043123,34.5227
HOSP_InvPla_132,-93.040042,34.525252
HOSP_InvPla_133,-93.036962,34.527804
HOSP_InvPla_134,-93.033881,34.530355
HOSP_InvPla_135,-93.0308,34.532907
HOSP_InvPla_136,-93.027718,34.535458
HOSP_InvPla_137,-93.024947,34.536857
HOSP_InvPla_139,-93.046219,34.515191
HOSP_InvPla_140,-93.04312,34.517599
HOSP_InvPla_141,-93.04004,34.520151
HOSP_InvPla_142,-93.036959,34.522702
HOSP_InvPla_143,-93.033879,34.525254
HOSP_InvPla_144,-93.030798,34.527805
HOSP_InvPla_145,-93.027717,34.530357
HOSP_InvPla_146,-93.024649,34.532901
HOSP_InvPla_147,-93.023098,34.53506
HOSP_InvPla_148,-93.033946,34.520576
HOSP_InvPla_149,-93.0308,34.522704
HOSP_InvPla_150,-93.027715,34.525275
HOSP_InvPla_151,-93.024634,34.527807
HOSP_InvPla_152,-93.021555,34.530358
HOSP_InvPla_153,-93.019621,34.532465
HOSP_InvPla_154,-93.024636,34.523798
HOSP_InvPla_155,-93.021586,34.525282
HOSP_InvPla_156,-93.019699,34.527894
