ParkName,ParkCode,LocationID,Lat_DD,Lon_DD,PeriodID,SampleYear,Species,CoverClass,MidRange
Effigy Mounds National Monument,EFMO,EFMO_InvPla_1,43.10,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_10,43.10,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_10,43.10,-91.18,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_100,43.09,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_101,43.09,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_102,43.09,-91.18,EFMOInvPla2022Jul5,2022,MEOF,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_102,43.09,-91.18,EFMOInvPla2022Jul5,2022,LOMA6,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_102,43.09,-91.18,EFMOInvPla2022Jul5,2022,LECA2,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_102,43.09,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_105,43.09,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_105,43.09,-91.22,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_106,43.09,-91.22,EFMOInvPla2022Jul5,2022,ROMU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_106,43.09,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_106,43.09,-91.22,EFMOInvPla2022Jul5,2022,BETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_106,43.09,-91.22,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_107,43.09,-91.21,EFMOInvPla2022Jul5,2022,SCAR7,2,5.00
