LocationID,Lon_DD,Lat_DD
PERI_InvPla_1,-94.061969,36.466819
PERI_InvPla_2,-94.0596,36.469095
PERI_InvPla_3,-94.061582,36.462632
PERI_InvPla_4,-94.059484,36.464312
PERI_InvPla_5,-94.056362,36.46689
PERI_InvPla_6,-94.05324,36.469465
PERI_InvPla_7,-94.050588,36.470945
PERI_InvPla_8,-94.05884,36.459271
PERI_InvPla_9,-94.056293,36.461791
PERI_InvPla_10,-94.053171,36.464368
PERI_InvPla_11,-94.050049,36.466945
PERI_InvPla_12,-94.047297,36.469021
PERI_InvPla_13,-94.0588,36.454108
PERI_InvPla_14,-94.056224,36.456692
PERI_InvPla_15,-94.053102,36.459269
PERI_InvPla_16,-94.04998,36.461846
PERI_InvPla_17,-94.046859,36.464424
PERI_InvPla_18,-94.043736,36.466995
PERI_InvPla_19,-94.040673,36.468553
PERI_InvPla_20,-94.064218,36.443808
PERI_InvPla_21,-94.062487,36.44639
PERI_InvPla_22,-94.058847,36.448986
PERI_InvPla_23,-94.056155,36.451593
PERI_InvPla_24,-94.053033,36.45417
PERI_InvPla_25,-94.049912,36.456747
PERI_InvPla_26,-94.04679,36.459325
PERI_InvPla_27,-94.043668,36.461902
PERI_InvPla_28,-94.040546,36.464479
PERI_InvPla_29,-94.037424,36.467033
PERI_InvPla_30,-94.033831,36.469344
PERI_InvPla_31,-94.031538,36.470995
PERI_InvPla_32,-94.062293,36.441929
PERI_InvPla_33,-94.059206,36.443916
PERI_InvPla_34,-94.056085,36.446494
PERI_InvPla_35,-94.052964,36.449071
PERI_InvPla_36,-94.049843,36.451648
PERI_InvPla_37,-94.046721,36.454226
PERI_InvPla_38,-94.0436,36.456803
PERI_InvPla_39,-94.040478,36.45938
PERI_InvPla_40,-94.037356,36.461957
PERI_InvPla_41,-94.034233,36.464534
PERI_InvPla_42,-94.031111,36.46711
PERI_InvPla_43,-94.028688,36.469006
PERI_InvPla_44,-94.058168,36.438883
PERI_InvPla_45,-94.056016,36.441395
PERI_InvPla_46,-94.052895,36.443972
PERI_InvPla_47,-94.049774,36.44655
PERI_InvPla_48,-94.046653,36.449127
PERI_InvPla_49,-94.043531,36.451704
PERI_InvPla_50,-94.04041,36.454281
PERI_InvPla_51,-94.037288,36.456858
PERI_InvPla_52,-94.034165,36.459435
PERI_InvPla_53,-94.031043,36.462011
PERI_InvPla_54,-94.02792,36.464588
PERI_InvPla_55,-94.025353,36.467058
PERI_InvPla_56,-94.057544,36.434254
PERI_InvPla_57,-94.056056,36.436299
PERI_InvPla_58,-94.052827,36.438938
PERI_InvPla_59,-94.049706,36.441451
PERI_InvPla_60,-94.046584,36.444028
PERI_InvPla_61,-94.043463,36.446605
PERI_InvPla_62,-94.040342,36.449182
PERI_InvPla_63,-94.03722,36.451759
PERI_InvPla_64,-94.034098,36.454336
PERI_InvPla_65,-94.030976,36.456912
PERI_InvPla_66,-94.027853,36.459489
PERI_InvPla_67,-94.024763,36.462001
PERI_InvPla_68,-94.049619,36.43757
PERI_InvPla_69,-94.047289,36.439428
PERI_InvPla_70,-94.043396,36.441586
PERI_InvPla_71,-94.040273,36.444083
PERI_InvPla_72,-94.037152,36.44666
PERI_InvPla_73,-94.03403,36.449237
PERI_InvPla_74,-94.030908,36.451814
PERI_InvPla_75,-94.027786,36.45439
PERI_InvPla_76,-94.024663,36.456967
PERI_InvPla_77,-94.021543,36.459539
PERI_InvPla_78,-94.01832,36.461819
PERI_InvPla_79,-94.011802,36.467063
PERI_InvPla_80,-94.009066,36.468234
PERI_InvPla_81,-94.04078,36.439821
PERI_InvPla_82,-94.037089,36.441655
PERI_InvPla_83,-94.033962,36.444138
PERI_InvPla_84,-94.030841,36.446715
PERI_InvPla_85,-94.027719,36.449291
PERI_InvPla_86,-94.024596,36.451868
PERI_InvPla_87,-94.021474,36.454444
PERI_InvPla_88,-94.018351,36.457021
PERI_InvPla_89,-94.015229,36.459597
PERI_InvPla_90,-94.012105,36.462174
PERI_InvPla_91,-94.008982,36.46475
PERI_InvPla_92,-94.005995,36.467119
PERI_InvPla_93,-94.004008,36.468628
PERI_InvPla_94,-94.033799,36.439905
PERI_InvPla_95,-94.030839,36.441837
PERI_InvPla_96,-94.027651,36.444192
PERI_InvPla_97,-94.024529,36.446769
PERI_InvPla_98,-94.021407,36.449345
PERI_InvPla_99,-94.018285,36.451922
PERI_InvPla_100,-94.015162,36.454498
PERI_InvPla_101,-94.012039,36.457075
PERI_InvPla_102,-94.008916,36.459651
PERI_InvPla_103,-94.005793,36.462227
PERI_InvPla_104,-94.002917,36.464293
PERI_InvPla_105,-94.025069,36.442697
PERI_InvPla_106,-94.021451,36.444565
PERI_InvPla_107,-94.018218,36.446823
PERI_InvPla_108,-94.015096,36.449399
PERI_InvPla_109,-94.011973,36.451976
PERI_InvPla_110,-94.00885,36.454552
PERI_InvPla_111,-94.005727,36.457128
PERI_InvPla_112,-94.002604,36.459704
PERI_InvPla_113,-94.000496,36.462255
PERI_InvPla_114,-94.015584,36.445459
PERI_InvPla_115,-94.01224,36.447134
PERI_InvPla_116,-94.008782,36.449462
PERI_InvPla_117,-94.005661,36.452029
PERI_InvPla_118,-94.002543,36.454605
PERI_InvPla_119,-94.000518,36.457214
PERI_InvPla_120,-94.005581,36.447882
PERI_InvPla_121,-94.002493,36.449508
PERI_InvPla_122,-94.000573,36.452118
