LocationID,Lon_DD,Lat_DD
PIPE_InvPla_70,-96.330837,44.012261
PIPE_InvPla_72,-96.328274,44.012228
PIPE_InvPla_71,-96.329608,44.012244
PIPE_InvPla_81,-96.330854,44.01142
PIPE_InvPla_83,-96.328301,44.011353
PIPE_InvPla_82,-96.329649,44.011387
PIPE_InvPla_92,-96.330875,44.010425
PIPE_InvPla_94,-96.328327,44.010357
PIPE_InvPla_93,-96.329696,44.010392
PIPE_InvPla_107,-96.330895,44.009441
PIPE_InvPla_109,-96.328359,44.009409
PIPE_InvPla_108,-96.329745,44.009425
PIPE_InvPla_73,-96.327107,44.012254
PIPE_InvPla_84,-96.327304,44.011328
PIPE_InvPla_95,-96.326941,44.01024
PIPE_InvPla_110,-96.326982,44.009336
PIPE_InvPla_111,-96.325639,44.009289
PIPE_InvPla_113,-96.322887,44.009097
PIPE_InvPla_112,-96.32428,44.009146
PIPE_InvPla_13,-96.330586,44.017092
PIPE_InvPla_24,-96.32977,44.016212
PIPE_InvPla_23,-96.330766,44.016375
PIPE_InvPla_37,-96.329546,44.01535
PIPE_InvPla_36,-96.330784,44.015382
PIPE_InvPla_48,-96.330802,44.014389
PIPE_InvPla_51,-96.328438,44.014042
PIPE_InvPla_49,-96.329556,44.014342
PIPE_InvPla_59,-96.330825,44.013255
PIPE_InvPla_60,-96.32957,44.013234
PIPE_InvPla_62,-96.327156,44.013042
PIPE_InvPla_61,-96.328246,44.013174
PIPE_InvPla_27,-96.326868,44.016209
PIPE_InvPla_26,-96.328052,44.016309
PIPE_InvPla_25,-96.329196,44.016428
PIPE_InvPla_15,-96.32806,44.017049
PIPE_InvPla_14,-96.329236,44.017077
PIPE_InvPla_39,-96.326739,44.015241
PIPE_InvPla_38,-96.328171,44.015318
PIPE_InvPla_50,-96.328101,44.014434
PIPE_InvPla_52,-96.326771,44.014292
PIPE_InvPla_54,-96.324252,44.014164
PIPE_InvPla_53,-96.325489,44.014156
PIPE_InvPla_1,-96.326428,44.018891
PIPE_InvPla_7,-96.326425,44.018188
PIPE_InvPla_2,-96.325188,44.018861
PIPE_InvPla_8,-96.325205,44.018063
PIPE_InvPla_4,-96.322691,44.018775
PIPE_InvPla_3,-96.323816,44.01883
PIPE_InvPla_9,-96.323814,44.017936
PIPE_InvPla_10,-96.322551,44.018
PIPE_InvPla_19,-96.322401,44.017456
PIPE_InvPla_35,-96.318519,44.01549
PIPE_InvPla_44,-96.319907,44.015368
PIPE_InvPla_34,-96.319972,44.016057
PIPE_InvPla_33,-96.320928,44.016184
PIPE_InvPla_22,-96.320369,44.017105
PIPE_InvPla_21,-96.321313,44.017181
PIPE_InvPla_11,-96.321484,44.018172
PIPE_InvPla_12,-96.32043,44.018088
PIPE_InvPla_5,-96.321615,44.018935
PIPE_InvPla_6,-96.320511,44.018891
PIPE_InvPla_16,-96.326614,44.017302
PIPE_InvPla_17,-96.325284,44.017218
PIPE_InvPla_20,-96.322419,44.016963
PIPE_InvPla_18,-96.323948,44.017105
PIPE_InvPla_28,-96.326291,44.016421
PIPE_InvPla_29,-96.325312,44.016245
PIPE_InvPla_30,-96.323937,44.016213
PIPE_InvPla_32,-96.321592,44.016093
PIPE_InvPla_31,-96.322562,44.016182
PIPE_InvPla_40,-96.325316,44.015206
PIPE_InvPla_41,-96.323996,44.015083
PIPE_InvPla_43,-96.321391,44.015431
PIPE_InvPla_42,-96.322666,44.015205
PIPE_InvPla_64,-96.324077,44.0135
PIPE_InvPla_45,-96.321278,44.014969
PIPE_InvPla_56,-96.321282,44.014158
PIPE_InvPla_55,-96.322433,44.014469
PIPE_InvPla_65,-96.322758,44.013747
PIPE_InvPla_106,-96.318483,44.009218
PIPE_InvPla_104,-96.318501,44.01013
PIPE_InvPla_91,-96.318508,44.011126
PIPE_InvPla_80,-96.318548,44.012123
PIPE_InvPla_69,-96.318584,44.013113
PIPE_InvPla_47,-96.318592,44.014833
PIPE_InvPla_58,-96.318606,44.014104
PIPE_InvPla_46,-96.320113,44.014876
PIPE_InvPla_57,-96.319982,44.01415
PIPE_InvPla_68,-96.319921,44.013138
PIPE_InvPla_79,-96.319818,44.012173
PIPE_InvPla_90,-96.319687,44.011146
PIPE_InvPla_103,-96.319658,44.01016
PIPE_InvPla_105,-96.319558,44.009323
PIPE_InvPla_100,-96.322108,44.00955
PIPE_InvPla_102,-96.320439,44.009783
PIPE_InvPla_101,-96.321607,44.010239
PIPE_InvPla_99,-96.322691,44.010232
PIPE_InvPla_89,-96.32116,44.011186
PIPE_InvPla_88,-96.322668,44.011234
PIPE_InvPla_78,-96.321219,44.012161
PIPE_InvPla_77,-96.322718,44.012232
PIPE_InvPla_67,-96.321266,44.013189
PIPE_InvPla_66,-96.322641,44.013059
PIPE_InvPla_74,-96.325912,44.012175
PIPE_InvPla_75,-96.325076,44.012368
PIPE_InvPla_76,-96.324069,44.012362
PIPE_InvPla_87,-96.323951,44.011244
PIPE_InvPla_98,-96.323887,44.010156
PIPE_InvPla_97,-96.32502,44.010267
PIPE_InvPla_96,-96.325961,44.010474
PIPE_InvPla_85,-96.326143,44.011306
PIPE_InvPla_86,-96.32506,44.011266
PIPE_InvPla_114,-96.320876,44.008886
PIPE_InvPla_63,-96.326912,44.013424
PIPE_InvPla_117,-96.318372,44.017085
PIPE_InvPla_121,-96.319074,44.019145
PIPE_InvPla_115,-96.318761,44.016268
PIPE_InvPla_118,-96.318583,44.017916
PIPE_InvPla_116,-96.319305,44.017112
PIPE_InvPla_119,-96.319272,44.018271
PIPE_InvPla_120,-96.319838,44.019202
PIPE_InvPla_122,-96.318287,44.019131
