LocationID,Lon_DD,Lat_DD
TAPR_InvPla_1,-96.596691,38.493906
TAPR_InvPla_2,-96.595479,38.495878
TAPR_InvPla_3,-96.596297,38.488798
TAPR_InvPla_4,-96.594617,38.491824
TAPR_InvPla_5,-96.591986,38.494729
TAPR_InvPla_6,-96.58928,38.496299
TAPR_InvPla_7,-96.595755,38.483874
TAPR_InvPla_8,-96.593529,38.486803
TAPR_InvPla_9,-96.590888,38.489748
TAPR_InvPla_10,-96.588246,38.492692
TAPR_InvPla_11,-96.585574,38.495396
TAPR_InvPla_12,-96.596513,38.475798
TAPR_InvPla_13,-96.594991,38.478846
TAPR_InvPla_14,-96.592425,38.481783
TAPR_InvPla_15,-96.589783,38.484727
TAPR_InvPla_16,-96.587141,38.487671
TAPR_InvPla_17,-96.5845,38.490616
TAPR_InvPla_18,-96.581857,38.49356
TAPR_InvPla_19,-96.579269,38.495905
TAPR_InvPla_20,-96.596022,38.470873
TAPR_InvPla_21,-96.593961,38.473817
TAPR_InvPla_22,-96.59132,38.476762
TAPR_InvPla_23,-96.588679,38.479706
TAPR_InvPla_24,-96.586037,38.482651
TAPR_InvPla_25,-96.583395,38.485595
TAPR_InvPla_26,-96.580753,38.488539
TAPR_InvPla_27,-96.578111,38.491483
TAPR_InvPla_28,-96.575469,38.494422
TAPR_InvPla_29,-96.573045,38.496242
TAPR_InvPla_30,-96.596707,38.462849
TAPR_InvPla_31,-96.595333,38.465871
TAPR_InvPla_32,-96.592856,38.468796
TAPR_InvPla_33,-96.590216,38.471741
TAPR_InvPla_34,-96.587574,38.474685
TAPR_InvPla_35,-96.584933,38.47763
TAPR_InvPla_36,-96.582291,38.480574
TAPR_InvPla_37,-96.57965,38.483518
TAPR_InvPla_38,-96.577008,38.486463
TAPR_InvPla_39,-96.574365,38.489407
TAPR_InvPla_40,-96.571723,38.492351
TAPR_InvPla_41,-96.56914,38.495079
TAPR_InvPla_42,-96.596265,38.457852
TAPR_InvPla_43,-96.594393,38.460831
TAPR_InvPla_44,-96.591752,38.463776
TAPR_InvPla_45,-96.589111,38.46672
TAPR_InvPla_46,-96.58647,38.469665
TAPR_InvPla_47,-96.583829,38.472609
TAPR_InvPla_48,-96.581187,38.475553
TAPR_InvPla_49,-96.578546,38.478498
TAPR_InvPla_50,-96.575904,38.481442
TAPR_InvPla_51,-96.573262,38.484386
TAPR_InvPla_52,-96.57062,38.48733
TAPR_InvPla_53,-96.568399,38.490254
TAPR_InvPla_54,-96.596891,38.449925
TAPR_InvPla_55,-96.595647,38.45288
TAPR_InvPla_56,-96.593288,38.45581
TAPR_InvPla_57,-96.590648,38.458755
TAPR_InvPla_58,-96.588007,38.461699
TAPR_InvPla_59,-96.585366,38.464644
TAPR_InvPla_60,-96.582725,38.467588
TAPR_InvPla_61,-96.580084,38.470533
TAPR_InvPla_62,-96.577442,38.473477
TAPR_InvPla_63,-96.5748,38.476421
TAPR_InvPla_64,-96.572159,38.479365
TAPR_InvPla_65,-96.569542,38.482307
TAPR_InvPla_66,-96.567844,38.485328
TAPR_InvPla_67,-96.596492,38.444827
TAPR_InvPla_68,-96.594803,38.447848
TAPR_InvPla_69,-96.592184,38.45079
TAPR_InvPla_70,-96.589543,38.453734
TAPR_InvPla_71,-96.586903,38.456679
TAPR_InvPla_72,-96.584262,38.459623
TAPR_InvPla_73,-96.581621,38.462567
TAPR_InvPla_74,-96.57898,38.465512
TAPR_InvPla_75,-96.576339,38.468456
TAPR_InvPla_76,-96.573697,38.4714
TAPR_InvPla_77,-96.571055,38.474344
TAPR_InvPla_78,-96.568713,38.47727
TAPR_InvPla_79,-96.56748,38.480246
TAPR_InvPla_80,-96.595938,38.439894
TAPR_InvPla_81,-96.593719,38.442824
TAPR_InvPla_82,-96.591079,38.445769
TAPR_InvPla_83,-96.588439,38.448713
TAPR_InvPla_84,-96.585799,38.451658
TAPR_InvPla_85,-96.583158,38.454602
TAPR_InvPla_86,-96.580518,38.457547
TAPR_InvPla_87,-96.577877,38.460491
TAPR_InvPla_88,-96.575235,38.463435
TAPR_InvPla_89,-96.572594,38.466379
TAPR_InvPla_90,-96.569952,38.469323
TAPR_InvPla_91,-96.568052,38.47228
TAPR_InvPla_92,-96.596707,38.431814
TAPR_InvPla_93,-96.595176,38.434865
TAPR_InvPla_94,-96.592615,38.437804
TAPR_InvPla_95,-96.589975,38.440748
TAPR_InvPla_96,-96.587335,38.443693
TAPR_InvPla_97,-96.584695,38.446637
TAPR_InvPla_98,-96.582055,38.449581
TAPR_InvPla_99,-96.579414,38.452526
TAPR_InvPla_100,-96.576773,38.45547
TAPR_InvPla_101,-96.574132,38.458414
TAPR_InvPla_102,-96.571491,38.461358
TAPR_InvPla_103,-96.568959,38.464291
TAPR_InvPla_104,-96.567539,38.467306
TAPR_InvPla_105,-96.596221,38.426896
