LocationID,Lon_DD,Lat_DD
WICR_InvPla_2,-93.421705,37.118491
WICR_InvPla_3,-93.420027,37.119774
WICR_InvPla_5,-93.422754,37.114845
WICR_InvPla_6,-93.421691,37.115953
WICR_InvPla_7,-93.420106,37.117234
WICR_InvPla_8,-93.418521,37.118514
WICR_InvPla_9,-93.417114,37.119766
WICR_InvPla_11,-93.420092,37.114684
WICR_InvPla_12,-93.418507,37.115964
WICR_InvPla_13,-93.416922,37.117245
WICR_InvPla_14,-93.415337,37.118503
WICR_InvPla_15,-93.413764,37.119197
WICR_InvPla_17,-93.419998,37.112134
WICR_InvPla_18,-93.418493,37.113415
WICR_InvPla_19,-93.416908,37.114695
WICR_InvPla_20,-93.415324,37.115976
WICR_InvPla_21,-93.413739,37.117256
WICR_InvPla_22,-93.412154,37.118507
WICR_InvPla_23,-93.410597,37.119175
WICR_InvPla_24,-93.419506,37.109981
WICR_InvPla_25,-93.418479,37.110865
WICR_InvPla_26,-93.416894,37.112146
WICR_InvPla_27,-93.41531,37.113426
WICR_InvPla_28,-93.413725,37.114706
WICR_InvPla_29,-93.41214,37.115987
WICR_InvPla_30,-93.410537,37.117265
WICR_InvPla_32,-93.417986,37.108654
WICR_InvPla_33,-93.41688,37.109596
WICR_InvPla_34,-93.415296,37.110877
WICR_InvPla_35,-93.413711,37.112157
WICR_InvPla_36,-93.412126,37.113437
WICR_InvPla_37,-93.410541,37.114717
WICR_InvPla_38,-93.408956,37.115996
WICR_InvPla_39,-93.40735,37.117008
WICR_InvPla_40,-93.416478,37.107234
WICR_InvPla_41,-93.415282,37.108327
WICR_InvPla_42,-93.413697,37.109607
WICR_InvPla_43,-93.412112,37.110888
WICR_InvPla_44,-93.410527,37.112168
WICR_InvPla_45,-93.408943,37.113448
WICR_InvPla_46,-93.407358,37.114728
WICR_InvPla_47,-93.405773,37.116009
WICR_InvPla_48,-93.404243,37.117119
WICR_InvPla_49,-93.416255,37.104476
WICR_InvPla_50,-93.415261,37.105778
WICR_InvPla_51,-93.413683,37.107058
WICR_InvPla_52,-93.412098,37.108338
WICR_InvPla_53,-93.410514,37.109618
WICR_InvPla_54,-93.408929,37.110899
WICR_InvPla_55,-93.407344,37.112179
WICR_InvPla_58,-93.402589,37.11602
WICR_InvPla_59,-93.400989,37.116979
WICR_InvPla_60,-93.416299,37.101929
WICR_InvPla_61,-93.415253,37.103228
WICR_InvPla_62,-93.413669,37.104508
WICR_InvPla_63,-93.412085,37.105789
WICR_InvPla_64,-93.4105,37.107069
WICR_InvPla_65,-93.408915,37.108349
WICR_InvPla_66,-93.40733,37.109629
WICR_InvPla_67,-93.405745,37.11091
WICR_InvPla_68,-93.404161,37.11219
WICR_InvPla_69,-93.402576,37.11347
WICR_InvPla_70,-93.40099,37.11475
