ParkName,ParkCode,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,Johnsongrass,Sorghum halepense,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,bald brome. spiked brome,Bromus racemosus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,privet sp.,Ligustrum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_97,PERIInvPla2021Aug16,tree of heaven,Ailanthus altissima,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,6,750
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_116,PERIInvPla2021Aug16,common mullein,Verbascum thapsus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_117,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,6,750
Pea Ridge National Military Park,PERI,PERI_InvPla_117,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_117,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_118,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_118,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_36,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_36,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,6,750
Pea Ridge National Military Park,PERI,PERI_InvPla_37,PERIInvPla2021Aug16,bald brome. spiked brome,Bromus racemosus,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_37,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
