LocationID,PeriodID,Species,CoverClass,Comments
PERI_InvPla_97,PERIInvPla2021Aug16,JUVI,5,
PERI_InvPla_97,PERIInvPla2021Aug16,MIVI,1,
PERI_InvPla_97,PERIInvPla2021Aug16,ROMU,4,
PERI_InvPla_97,PERIInvPla2021Aug16,ROPS,3,
PERI_InvPla_97,PERIInvPla2021Aug16,SCAR7,3,
PERI_InvPla_97,PERIInvPla2021Aug16,SOHA,3,
PERI_InvPla_97,PERIInvPla2021Aug16,POPR,1,
PERI_InvPla_97,PERIInvPla2021Aug16,BRRA2,1,
PERI_InvPla_97,PERIInvPla2021Aug16,LOJA,4,
PERI_InvPla_97,PERIInvPla2021Aug16,LECU,3,
PERI_InvPla_97,PERIInvPla2021Aug16,LIGUS2,1,
PERI_InvPla_97,PERIInvPla2021Aug16,AIAL,1,
PERI_InvPla_116,PERIInvPla2021Aug16,JUVI,6,
PERI_InvPla_116,PERIInvPla2021Aug16,LECU,2,
PERI_InvPla_116,PERIInvPla2021Aug16,MIVI,4,
PERI_InvPla_116,PERIInvPla2021Aug16,POPR,1,
PERI_InvPla_116,PERIInvPla2021Aug16,ROMU,3,
PERI_InvPla_116,PERIInvPla2021Aug16,SCAR7,1,
PERI_InvPla_116,PERIInvPla2021Aug16,VETH,1,
PERI_InvPla_117,PERIInvPla2021Aug16,JUVI,6,
PERI_InvPla_117,PERIInvPla2021Aug16,MIVI,4,
PERI_InvPla_117,PERIInvPla2021Aug16,ROMU,1,
PERI_InvPla_118,PERIInvPla2021Aug16,JUVI,1,
PERI_InvPla_118,PERIInvPla2021Aug16,MIVI,5,
PERI_InvPla_36,PERIInvPla2021Aug16,JUVI,4,
PERI_InvPla_36,PERIInvPla2021Aug16,MIVI,6,
PERI_InvPla_37,PERIInvPla2021Aug16,BRRA2,2,
PERI_InvPla_37,PERIInvPla2021Aug16,JUVI,3,
PERI_InvPla_37,PERIInvPla2021Aug16,LECU,5,
PERI_InvPla_37,PERIInvPla2021Aug16,POPR,1,
PERI_InvPla_37,PERIInvPla2021Aug16,ROMU,2,
PERI_InvPla_37,PERIInvPla2021Aug16,SCAR7,3,
PERI_InvPla_37,PERIInvPla2021Aug16,TOAR,1,
PERI_InvPla_37,PERIInvPla2021Aug16,VETH,1,
PERI_InvPla_37,PERIInvPla2021Aug16,LOJA,2,
PERI_InvPla_37,PERIInvPla2021Aug16,MIVI,3,
PERI_InvPla_38,PERIInvPla2021Aug16,JUVI,5,
PERI_InvPla_38,PERIInvPla2021Aug16,LECU,5,
PERI_InvPla_38,PERIInvPla2021Aug16,LIGUS2,3,
PERI_InvPla_38,PERIInvPla2021Aug16,LOJA,2,
PERI_InvPla_38,PERIInvPla2021Aug16,MIVI,4,
PERI_InvPla_38,PERIInvPla2021Aug16,POPR,1,
PERI_InvPla_38,PERIInvPla2021Aug16,SCAR7,3,
PERI_InvPla_38,PERIInvPla2021Aug16,ROMU,3,
PERI_InvPla_38,PERIInvPla2021Aug16,TOAR,1,
PERI_InvPla_38,PERIInvPla2021Aug16,VETH,1,
PERI_InvPla_38,PERIInvPla2021Aug16,CEOR7,1,
PERI_InvPla_39,PERIInvPla2021Aug16,JUVI,3,
PERI_InvPla_39,PERIInvPla2021Aug16,LECU,1,
PERI_InvPla_40,PERIInvPla2021Aug16,DACA6,2,
PERI_InvPla_40,PERIInvPla2021Aug16,LECU,5,
PERI_InvPla_40,PERIInvPla2021Aug16,POPR,1,
PERI_InvPla_40,PERIInvPla2021Aug16,RHCO,5,
PERI_InvPla_40,PERIInvPla2021Aug16,ROMU,2,
PERI_InvPla_40,PERIInvPla2021Aug16,SCAR7,1,
PERI_InvPla_40,PERIInvPla2021Aug16,ROPS,1,
PERI_InvPla_46,PERIInvPla2021Aug16,LECU,2,
PERI_InvPla_46,PERIInvPla2021Aug16,LOJA,3,
PERI_InvPla_46,PERIInvPla2021Aug16,ROMU,2,
PERI_InvPla_19,PERIInvPla2021Aug16,JUVI,1,
PERI_InvPla_27,PERIInvPla2021Aug16,JUVI,3,
PERI_InvPla_27,PERIInvPla2021Aug16,LECU,1,
PERI_InvPla_27,PERIInvPla2021Aug16,VETH,2,
PERI_InvPla_28,PERIInvPla2021Aug16,JUVI,2,
PERI_InvPla_28,PERIInvPla2021Aug16,LECU,5,
PERI_InvPla_28,PERIInvPla2021Aug16,POPR,3,
PERI_InvPla_28,PERIInvPla2021Aug16,CANU4,1,
PERI_InvPla_29,PERIInvPla2021Aug16,JUVI,2,
PERI_InvPla_29,PERIInvPla2021Aug16,MIVI,1,
PERI_InvPla_29,PERIInvPla2021Aug16,LIGUS2,1,
PERI_InvPla_30,PERIInvPla2021Aug16,JUVI,5,
PERI_InvPla_31,PERIInvPla2021Aug16,JUVI,1,
PERI_InvPla_31,PERIInvPla2021Aug16,MIVI,3,
PERI_InvPla_68,PERIInvPla2021Aug16,MIVI,4,
PERI_InvPla_68,PERIInvPla2021Aug16,ROMU,1,
PERI_InvPla_69,PERIInvPla2021Aug16,BRIN2,1,
PERI_InvPla_69,PERIInvPla2021Aug16,JUVI,3,
PERI_InvPla_69,PERIInvPla2021Aug16,MIVI,3,
PERI_InvPla_69,PERIInvPla2021Aug16,ROMU,2,
PERI_InvPla_69,PERIInvPla2021Aug16,SCAR7,3,
PERI_InvPla_69,PERIInvPla2021Aug16,LIGUS2,1,
PERI_InvPla_69,PERIInvPla2021Aug16,PYCA80,1,
PERI_InvPla_69,PERIInvPla2021Aug16,LOJA,1,
PERI_InvPla_69,PERIInvPla2021Aug16,POPR,2,
PERI_InvPla_70,PERIInvPla2021Aug16,LECU,3,
