ID,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
0,ARPO_InvPla_1,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
1,ARPO_InvPla_1,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
2,ARPO_InvPla_1,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
3,ARPO_InvPla_1,ARPOInvPla2019Jun24,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
4,ARPO_InvPla_100,ARPOInvPla2006Aug30,osage orange,Maclura pomifera,4,75.0
5,ARPO_InvPla_100,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
6,ARPO_InvPla_100,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
7,ARPO_InvPla_100,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,2,5.0
8,ARPO_InvPla_100,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
9,ARPO_InvPla_100,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
10,ARPO_InvPla_100,ARPOInvPla2019Jun24,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
11,ARPO_InvPla_100,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
12,ARPO_InvPla_100,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,3,30.0
13,ARPO_InvPla_101,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,1,0.5
14,ARPO_InvPla_101,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,2,5.0
15,ARPO_InvPla_101,ARPOInvPla2011Aug8,eastern baccharis,Baccharis halimifolia,5,300.0
16,ARPO_InvPla_101,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,2,5.0
17,ARPO_InvPla_101,ARPOInvPla2011Aug8,Bermudagrass,Cynodon dactylon,5,300.0
18,ARPO_InvPla_101,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
